year,year_id,countries,country_id,regions,region_id,capital,latitude,longitude,fdi_in_usa_million,globalization_100,gdp_per_capita_usd,fdi_by_usa_million,stock_market_capitalization_gdp,government_effectiveness ,rule_of_law
1982,1,Norway,12,Europe,1,Oslo,59.9127,10.7461,,75,15224.89391,2735,3.824001984,,
1983,2,Norway,12,Europe,1,Oslo,59.9127,10.7461,,76,14927.51748,3099,7.44045967,,
1984,3,Norway,12,Europe,1,Oslo,59.9127,10.7461,,76,14989.48577,2850,93.34203805,,
1985,4,Norway,12,Europe,1,Oslo,59.9127,10.7461,,77,15753.55277,3235,15.38232947,,
1986,5,Norway,12,Europe,1,Oslo,59.9127,10.7461,,77,18883.2658,3247,12.84519267,,
1987,6,Norway,12,Europe,1,Oslo,59.9127,10.7461,352,77,22505.89771,3873,12.61595349,,
1988,7,Norway,12,Europe,1,Oslo,59.9127,10.7461,220,76,24207.28147,4429,15.46195257,,
1989,8,Norway,12,Europe,1,Oslo,59.9127,10.7461,576,75,24281.09614,3447,24.63638935,,
1990,9,Norway,12,Europe,1,Oslo,59.9127,10.7461,773,75,28242.94374,4209,21.81272462,,
1991,10,Norway,12,Europe,1,Oslo,59.9127,10.7461,721,77,28596.933,4318,18.04936012,,
1992,11,Norway,12,Europe,1,Oslo,59.9127,10.7461,911,77,30523.98506,3825,13.63548399,,
1993,12,Norway,12,Europe,1,Oslo,59.9127,10.7461,1217,79,27963.66522,3757,22.69974331,,
1994,13,Norway,12,Europe,1,Oslo,59.9127,10.7461,1616,80,29315.84191,5026,28.67845589,,
1995,14,Norway,12,Europe,1,Oslo,59.9127,10.7461,2172,80,34875.70433,4741,29.32782589,,
1996,15,Norway,12,Europe,1,Oslo,59.9127,10.7461,2286,81,37321.9742,5483,34.78329992,1.95,1.92
1997,16,Norway,12,Europe,1,Oslo,59.9127,10.7461,3122,82,36629.0309,6633,41.21888839,1.97,1.96
1998,17,Norway,12,Europe,1,Oslo,59.9127,10.7461,3787,82,34788.35985,6897,30.11151204,1.98,2
1999,18,Norway,12,Europe,1,Oslo,59.9127,10.7461,2854,82,36371.05095,5944,39.25201341,1.94,1.93
2000,19,Norway,12,Europe,1,Oslo,59.9127,10.7461,2665,84,38131.46061,4379,38.40888283,1.9,1.86
2001,20,Norway,12,Europe,1,Oslo,59.9127,10.7461,2574,84,38542.7151,4446,39.92901882,1.9,1.87
2002,21,Norway,12,Europe,1,Oslo,59.9127,10.7461,3810,83,43084.47247,6045,32.81934637,1.9,1.88
2003,22,Norway,12,Europe,1,Oslo,59.9127,10.7461,4203,83,50134.89077,7511,41.91232012,1.9,1.92
2004,23,Norway,12,Europe,1,Oslo,59.9127,10.7461,2862,84,57603.83602,8491,53.46829538,2.08,1.98
2005,24,Norway,12,Europe,1,Oslo,59.9127,10.7461,9810,83,66810.47852,8533,61.86088767,1.86,1.92
2006,25,Norway,12,Europe,1,Oslo,59.9127,10.7461,10442,84,74148.32008,9667,81.26923625,1.88,1.98
2007,26,Norway,12,Europe,1,Oslo,59.9127,10.7461,7317,85,85139.96045,12188,88.52256123,2.02,1.95
2008,27,Norway,12,Europe,1,Oslo,59.9127,10.7461,11511,85,96944.09561,24706,31.56437858,1.84,1.97
2009,28,Norway,12,Europe,1,Oslo,59.9127,10.7461,9866,85,79977.69708,24238,58.83969116,1.84,1.88
2010,29,Norway,12,Europe,1,Oslo,59.9127,10.7461,10478,85,87693.79007,28541,68.87077611,1.88,1.9
2011,30,Norway,12,Europe,1,Oslo,59.9127,10.7461,16530,85,100600.5624,32727,44.33950096,1.84,1.87
2012,31,Norway,12,Europe,1,Oslo,59.9127,10.7461,18769,85,101524.1419,43326,47.6470795,1.91,1.96
2013,32,Norway,12,Europe,1,Oslo,59.9127,10.7461,18470,85,102913.4508,40617,50.76446598,1.88,1.98
2014,33,Norway,12,Europe,1,Oslo,59.9127,10.7461,19539,85,97019.18275,34808,44.01389376,1.83,2.03
2015,34,Norway,12,Europe,1,Oslo,59.9127,10.7461,20641,86,74355.51586,31697,50.25789813,1.86,2.01
2016,35,Norway,12,Europe,1,Oslo,59.9127,10.7461,24794,86,70459.1825,28657,62.70192417,1.87,2.04
2017,36,Norway,12,Europe,1,Oslo,59.9127,10.7461,22800,86,75496.75406,26901,72.08748933,1.98,2.02
2018,37,Norway,12,Europe,1,Oslo,59.9127,10.7461,26007,85,81734.46557,26145,61.5851566,1.89,1.96
2019,38,Norway,12,Europe,1,Oslo,59.9127,10.7461,24221,,75419.63487,25556,73.2759693,1.86,1.98
